CIN_ID,BLOG_CAFE_CIN_KWD,NAVER_CAFE_VIEW_NCNT,NAVER_CAFE_REP_NCNT
mv20190320001,영화 돈,15715,103
mv20190320002,악질경찰,15807,346
mv20190320003,영화 우상,33115,1004
mv20190321003,양지의 그녀,3734,125
mv20190321004,영화 원네이션,6120,237
mv20190321005,정글북 마법 원정대,127,5
mv20190327001,영화 강변호텔,178,0
mv20190327002,더 길티,2570,73
mv20190327003,영화 덤보,11557,403
mv20190327005,선희와 슬기,1299,26
mv20190327006,썬키스 패밀리,6030,265
mv20190327007,영화 아틱,5206,217
mv20190327008,영화 어스,28915,625
mv20190327009,영화 장난스런 키스,8378,235
mv20190327010,영화 콜레트,5185,199
mv20190328001,루스 베이더 긴즈버그 나는 반대한다,1045,29
mv20190328003,출동 도토리 구조대,190,2
mv20190403001,고릴라와 슈퍼레이스,221,5
mv20190403002,영화 로망,3863,117
mv20190403003,영화 생일,11010,556
mv20190403004,샤잠,21192,620
mv20190403005,아픈 만큼 사랑한다,548,20
mv20190404001,나의 작은 시인에게,1121,72
mv20190404002,막다른 골목의 추억,663,3
mv20190404003,스마트폰을 떨어뜨렸을 뿐인데,267,15
mv20190404004,예수보다 낯선,144,3
mv20190404005,영화 오늘도 평화로운,1976,65
mv20190404006,우리들의 완벽한 세계,1856,72
mv20190404007,파도치는 땅,304,17
mv20190404009,영화 한강에게,237,10
mv20190410001,영화 공포의 묘지,10469,467
mv20190410002,키코리키 시간여행,250,10
mv20190410003,파이브 피트,14956,759
mv20190411001,12번째 솔저,1014,26
mv20190411002,영화 미성년,5786,192
mv20190411003,영화 바이스,4450,245
mv20190411005,영화 아이 엠 마더,8312,154
mv20190411007,퍼스트 리폼드,1125,28
mv20190411008,영화 필그리미지,689,54
mv20190417001,"영화 다시, 봄",1977,150
mv20190417002,똑딱똑딱 마법의 시계나라,69,1
mv20190417004,영화 왓칭,6674,168
mv20190417005,요로나의 저주,5405,199
mv20190418001,노무현과 바보들,1987,69
mv20190418002,오리온의 화살,186,0
mv20190418003,영화 러브리스,1617,84
mv20190418005,스탈린이 죽었다,938,90
mv20190418006,유랑지구,1817,67
mv20190418007,영화 크게 될 놈,1765,120
mv20190424001,아메리카 뮤직&와일드,367,4
mv20190424002,어벤져스 엔드게임,92709,1399
mv20190425001,더 캡틴,1135,57
mv20190425002,도우터 오브 마인,61,8
mv20190425003,베카신,1244,103
mv20190425004,뽀로로 극장판 보물섬 대모험,55,5
mv20190425007,영화 안도 타다오,798,14
mv20190425009,영화 하트스톤,1212,41
mv20190501001,나의 특별한 형제,17543,680
mv20190501003,어글리 돌,1406,58
mv20190501005,영화 파업전야,272,9
mv20190501006,프렌즈: 둥지탈출,121,0
mv20190502001,굿바이 마이 러브NK 붉은 청춘,3855,98
mv20190502002,미스 스티븐스,2534,74
mv20190508002,호텔 뭄바이,14600,307
mv20190509001,걸캅스,11809,353
mv20190509002,고양이 여행 리포트,5382,226
mv20190509003,라플라스의 마녀,2175,116
mv20190509005,명탐정 피카츄,17442,419
mv20190509006,벤이즈백,1696,57
mv20190509007,에이프릴의 딸,1116,36
mv20190515001,물의 기억,513,12
mv20190515002,영화 배심원들,28096,1125
mv20190515003,영화 악인전,35240,565
mv20190516001,각오는 됐나 거기 여자,124,2
mv20190516002,영화 교회오빠,13474,211
mv20190516003,나의 히어로 아카데미아 더 무비 두 명의 히어로,364,0
mv20190516004,논-픽션,542,17
mv20190516005,영화 로지,859,36
mv20190516006,영화 몬스터 랜드,65,2
mv20190516007,서스페리아,13852,240
mv20190522001,뷰티풀 보이스,2253,66
mv20190522002,어린 의뢰인,19222,505
mv20190523001,영화 김군,3395,75
mv20190523002,영화 너의 목소리,399,33
mv20190523003,영화 더 보이,11180,195
mv20190523004,돈키호테를 죽인 사나이,1516,86
mv20190523005,영화 로제타,397,11
mv20190523007,시민 노무현,1023,63
mv20190523008,영화 알라딘,97368,2085
mv20190523009,언더 더 씨 2,61,5
mv20190523010,해피타임 스파이,1540,106
mv20190524001,기동전사 건담 내러티브,73,1
mv20190529001,0.0mhz,17661,202
mv20190529002,고질라?킹오브몬스터,17488,436
mv20190529003,보희와 녹양,2477,67
mv20190529004,영화 우리 지금 만나,674,25
mv20190529005,파리의 딜릴리,3090,166
mv20190530002,소은이의 무릎,119,10
mv20190530003,아녜스가 말하는 바르다,888,73
mv20190530004,아이 아이 가사 다시 만난 그날,520,51
mv20190530005,영화 옹알스,526,11
mv20190530006,피터팬 후크 선장과 결투의 날,410,5
mv20190605001,영화 로켓맨,12680,778
mv20190605002,엑스맨 다크 피닉스,15674,571
mv20190606001,글로리아 벨,1034,57
mv20190606002,영화 닥치고 피아노,822,37
mv20190606003,빅샤크2 해저2만리,185,1
mv20190606004,영화 폴라로이드,595,46
mv20190606005,하나레이 베이,1184,50
mv20190612001,맨 인 블랙 인터내셔널,6417,302
mv20190613001,극장판 오소마츠 6쌍둥이,513,24
mv20190613002,영화 블랙 47,40,2
mv20190613003,세상을 바꾼 변호인,2488,154
mv20190613004,영화 업사이드,4192,293
mv20190613005,엘리펀트킹 덤보,222,13
mv20190613010,평일 오후 3시의 연인,1022,36
mv20190619001,롱 리브 더 킹 목포 영웅,9709,348
mv20190620001,검은 여름,51,4
mv20190620002,영화 북클럽,1330,103
mv20190620003,영화 비블리아 고서당 사건수첩,443,29
mv20190620004,사탄의 인형 2019,424,33
mv20190620005,영화 쓰리 세컨즈,1574,43
mv20190620006,영화 에움길,593,15
mv20190620008,토이 스토리 4,34469,574
mv20190620009,퍼펙트 타겟,275,12
mv20190620010,하우스 오브 투모로우,246,21
mv20190620011,행복한 라짜로,3948,192
mv20190626001,마담 싸이코,4641,262
mv20190626002,영화 비스트,10362,387
mv20190626003,애나벨 집으로,4159,100
mv20190626004,존 윅 3 파라벨룸,7682,194
mv20190627001,쁘띠 아만다,916,47
mv20190627004,영화 스트롱거,725,16
mv20190627005,트리트 미 라이크 파이어,1190,26
mv20190702001,스파이더맨 파프롬홈,20072,443
mv20190703001,귀신의 향기,132,1
mv20190704001,13년의 공백,1401,52
mv20190704002,갤버스턴,2241,152
mv20190704003,동명이인 프로젝트 시즌2,2018,69
mv20190704005,별의 정원,561,22
mv20190704006,칠드런 액트,2312,142
mv20190704007,한낮의 피크닉,2532,66
mv20190710001,기방도령,7890,335
mv20190710002,영화 진범,12144,251
mv20190711001,엉덩이 탐정 화려한 사건 수첩,221,19
mv20190711002,난폭한 기록,3433,168
mv20190711003,마리아 칼라스 세기의 디바,705,11
mv20190711004,우리는 언제나 성에 살았다,926,79
mv20190711005,영화 zoe,380,13
mv20190717001,나이트메어 시네마,1501,67
mv20190717003,영화 사일런스,1612,79
mv20190718001,샤이닝스타 새로운 루나퀸의 탄생,1545,56
mv20190718002,꼬마 물고기 이자벨,402,11
mv20190718003,발광하는 현대사,3579,88
mv20190718004,수영장으로 간 남자들,1257,93
mv20190718005,이케아 옷장에서 시작된 특별난 여행,3284,115
mv20190724001,영화 나랏말싸미,15402,757
mv20190724002,롱 샷,6159,290
mv20190724003,명탐정 코난 감청의 권,9853,133
mv20190725001,굿바이 썸머,1514,16
mv20190725002,그녀들을 도와줘,998,65
mv20190725003,돈 워리,2123,134
mv20190725004,레드슈즈,26084,995
mv20190725007,주전장,12810,92
mv20190725008,지구 최후의 밤,2158,41
mv20190725009,캘리포니아 타이프라이터,139,8
mv20190725011,파리 에듀케이션,51,3
mv20190731001,데드 돈 다이,1219,43
mv20190731002,마이펫의 이중생활2,13464,320
mv20190731003,영화 사자,26912,565
mv20190731004,영화 엑시트,69520,1865
mv20190801001,누구나 아는 비밀,1517,101
mv20190801003,알랭 뒤카스 위대한 여정,471,3
mv20190807001,봉오동 전투,33498,532
mv20190807002,영화 앵그리버드 2,899,29
mv20190807003,캐리tv 러브콘서트 더 무비,2416,26
mv20190808001,영화 김복동,840,56
mv20190808002,나는 예수님이 싫다,948,47
mv20190808003,앨리스 죽이기,389,3
mv20190808004,영화 호크니,2704,79
mv20190814002,분노의 질주 홉스&쇼,10653,233
mv20190814003,안녕 티라노,4043,253
mv20190814004,영화 원더랜드,1808,110
mv20190814005,인면어 저주의 시작,809,41
mv20190815001,밤의 문이 열린다,2078,61
mv20190815002,영화 사랑의 선물,221,8
mv20190815003,수상한 교수,1071,91
mv20190815004,영화 암전,2148,130
mv20190815005,이타미 준의 바다,3851,94
mv20190815006,지구 공룡 대탐험,148,0
mv20190821001,광대들 풍문조작단,3578,169
mv20190821002,룩 어웨이,282,30
mv20190821003,영화 변신,7951,360
mv20190821004,블루스 인 인디아,114,7
mv20190822002,나만 없어 고양이,3271,133
mv20190822003,당나귀 공주,182,19
mv20190822005,영화 디터람스,689,2
mv20190822007,로슈포르의 숙녀들,275,25
mv20190822009,영화 애프터,5020,243
mv20190822010,영화 우리집,5105,272
mv20190822011,청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다,447,19
mv20190822012,커런트 워,6895,200
mv20190828001,47미터 2,9519,164
mv20190828003,블라인드 멜로디,9657,326
mv20190828004,영화 안나,3071,164
mv20190828005,유열의 음악앨범,15205,544
mv20190828006,인비저블 위트니스,84,0
mv20190829001,영화 벌새,5168,205
mv20190829002,영화 불빛 아래서,319,3
mv20190904002,그것 두 번째 이야기,4002,138
mv20190904003,극장판 헬로카봇 달나라를 구해줘,1309,32
mv20190904004,틴 스피릿,4309,184
mv20190905002,"영화 동물, 원",737,15
mv20190905004,안녕 베일리,3628,140
mv20190911001,극장판 반지의 비밀일기,392,20
mv20190911002,나쁜 녀석들 더 무비,11956,213
mv20190911005,타짜 원 아이드 잭,9859,365
mv20190911006,플레이모빌 더 무비,919,49
mv20190911007,힘을 내요 미스터 리,14642,460
mv20190912001,100일동안 100가지로 100퍼센트 행복찾기,2899,73
mv20190918001,영화 예스터데이,9257,142
mv20190919001,디스트로이어,1773,98
mv20190919002,발명왕 볼트,73,7
mv20190919003,뷰티풀 보이,2182,118
mv20190919004,비뚤어진 집,2054,102
mv20190919005,애드 아스트라,11826,427
mv20190919006,언더 더 실버레이크,595,30
mv20190925001,영화 더 룸,9700,343
mv20190925002,영화 레플리카,1998,126
mv20190925003,미드 90,3957,260
mv20190925005,영화 양자물리학,31076,333
mv20190925006,원스 어폰 어 타임 인 할리우드,19531,244
mv20190925007,장사리 잊혀진 영웅들,3920,85
mv20190926002,마왕의 딸 이리샤,694,62
mv20190926003,영화 메기,5541,306
mv20190926004,슈퍼 햄찌,230,14
mv20190926006,아워 바디,3479,111
mv20190926007,영화 애월,26,0
mv20190926008,와인스타인,593,47
mv20190926009,체인지 오버,1129,63
mv20190926010,헬로우 평양,163,0
mv20191002001,가장 보통의 연애,15166,581
mv20191002002,소피와 드래곤 마법책의 비밀,75,0
mv20191002003,영화 조커,36005,852
mv20191002005,퍼펙트맨,14494,611
mv20191003001,계절과 계절 사이,494,25
mv20191003002,나의 노래는 멀리멀리,360,16
mv20191003004,미드소마,1423,44
mv20191003006,트루 시크릿,980,42
mv20191009001,디어 마이 프렌드,1466,90
mv20191009002,수상한 이웃,1295,36
mv20191009003,잃어버린 세계를 찾아서,314,31
mv20191009004,제미니 맨,4851,268
mv20191009005,쿵푸 보이,19,2
mv20191009006,판소리 복서,8296,200
mv20191010001,여배우들의 티타임,614,24
mv20191010002,영화 여수 밤바다,47,3
mv20191010003,열두 번째 용의자,1388,66
mv20191016001,너를 만난 여름,3834,176
mv20191016002,영화 버티고,2394,182
mv20191017003,두번할까요,3932,139
mv20191017005,말레피센트 2,5858,337
mv20191017007,영화 신문기자,1869,65
mv20191017008,오늘도 위위,497,48
mv20191017009,영화 와일드 로즈,2342,148
mv20191017010,재혼의 기술,941,55
mv20191023001,82년생 김지영,30097,452
mv20191023002,람보 라스트워,4435,288
mv20191023003,빅트립,154,9
mv20191023004,체크 히어로,929,53
mv20191024001,영화 경계선,2592,100
mv20191024002,버스데이 원더랜드,116,6
mv20191024003,스노우 화이트,1266,26
mv20191024004,시크릿 슈퍼스타,1901,156
mv20191024006,퍼펙트 스트레인저,756,44
mv20191030001,날씨의 아이,29116,645
mv20191030002,영화 니나 내나,1768,61
mv20191030003,빅 2 황금열쇠 대소동,48,0
mv20191030006,엔젤 오브 마인,4174,76
mv20191030007,영화 쿠엔틴 타란티노,1993,65
mv20191030008,터미네이터 다크페이트,11411,321
mv20191030009,프렌드 존,1446,78
mv20191030010,영화 하이 라이프,533,34
mv20191031001,영화 오늘 우리,659,5
mv20191031002,우먼 인 할리우드,833,21
mv20191031004,텔 잇 투 더 비즈,233,2
mv20191107001,닥터 슬립,7251,236
mv20191107002,영화 더 빌리지,778,32
mv20191107004,신의 한 수 귀수편,11263,325
mv20191107005,열여섯의 봄,659,67
mv20191107006,왓 데이 해드,888,26
mv20191107008,캔 유 킵 어 시크릿,1179,53
mv20191107009,타이페이 스토리,278,2
mv20191107010,패트와 매트 우당탕탕 크리스마스,212,1
mv20191113001,블랙 머니,11339,382
mv20191113002,어쩌다 룸메이트,162,7
mv20191113003,엔젤 해즈 폴른,1223,101
mv20191113004,좀비랜드 더블 탭,2333,94
mv20191114002,늑대의 아이들,222,20
mv20191114004,더 컨덕터,1084,87
mv20191114005,마법 안개의 비밀,292,19
mv20191114006,영화 삽질,2260,53
mv20191114007,영화 심판,2811,81
mv20191114008,영하의 바람,3878,110
mv20191114010,윤희에게,13527,293
mv20191114011,카메라를 멈추면 안돼 스핀오프 할리우드 대작전,340,15
mv20191114012,캡티브 스테이트,205,12
mv20191114013,헬로 몽키,20,0
mv20191121001,겨울왕국 2,66317,1209
mv20191121002,영화 시빌,1400,48
mv20191121003,아빠는 예쁘다,936,50
mv20191121004,어제 일은 모두 괜찮아,1228,61
mv20191121005,얼굴없는 보스,1297,50
mv20191121006,접전 갑을 전쟁,421,12
mv20191121007,코끼리는 그곳에 있어,505,37
mv20191121009,프란치스코 교황 맨 오브 히스 워드,377,16
mv20191121010,영화 헤로니모,214,0
mv20191127001,나를 찾아줘,14691,188
mv20191127002,러브 앳,7274,160
mv20191127003,오피셜 시크릿,1018,31
mv20191127004,영화 카센타,4954,108
mv20191127005,영화 크롤,7979,397
mv20191127006,영화 허슬러,4462,238
mv20191128004,영화 삼촌,433,19
mv20191128005,수퍼 디스코,40,6
mv20191128006,영화 앵커,55,3
mv20191128007,영화 어메이징 그레이스,324,8
mv20191128008,우리를 갈라놓는 것들,99,6
mv20191128009,영화 집 이야기,1931,143
mv20191128010,행동하는 양심 김대중,237,30
mv20191204001,감쪽같은 그녀,7265,191
mv20191204002,나이브스 아웃,14894,538
mv20191204003,너의 여자친구,1045,43
mv20191204004,아직 사랑하고 있습니까,1263,3
mv20191205001,굿 라이어,2037,116
mv20191205003,영화 라스트 크리스마스,763,67
mv20191205005,파비안느에 관한 진실,3695,120
mv20191211001,영화 매리,939,50
mv20191211002,아내를 죽였다,2758,125
mv20191211003,쥬만지 넥스트 레벨,2007,100
mv20191212004,영화 더 하우스,592,12
mv20191212005,영화 드래곤 빌리지,12,1
mv20191212007,영화 디에고,1322,94
mv20191212012,산타 앤 컴퍼니,432,24
mv20191212013,영화 샐린저,150,21
mv20191212014,영화 속물들,1826,78
mv20191212015,아스테릭스 마법 물약의 비밀,9,0
mv20191212016,영화로운 나날,606,26
mv20191212017,영화 월성,356,23
mv20191212019,영화 카운트 다운,287,14
mv20191213001,영화 깡패들,200,3
mv20191218001,영화 시동,35384,929
mv20191219001,미안해요 리키,3064,303
mv20191219002,영화 백두산,34868,925
mv20191219004,신비아파트 극장판: 하늘도깨비 대 요르문간드,299,4
mv20191219005,영화 호흡,3422,173
mv20191224001,눈의 여왕4,614,30
mv20191224002,영화 캣츠,12286,640
mv20191224003,프린스 코기,2000,110
mv20191225001,영화 와일드 라이프,1747,135
mv20191226001,고흐 영원의 문에서,1770,132
mv20191226003,천문 하늘에 묻는다,14494,501
mv20191231001,영화 미드웨이,25544,473
