META_ID,META_TITLE,SUB_TITLE,ENGL_TITLE,SNSS_CTS,CINE21_CTSC_NM,CINE21_COMT_CTSC
MM1000189071,어스,,Us,"로튼토마토 100% 전세계 만장일치 호평.
전세계를 뒤흔든 <겟 아웃> 조던 필 감독의 영리한 문제작!

우리는 누구인가?

엄마, 아빠, 딸, 아들
그리고 다시
엄마, 아빠, 딸, 아들…",김성훈|김소미|김현수|이용철|임수연|허남웅,뒤틀린 현실을 가위로 뒤집고 오려내고|벌써 다음 작품이 궁금하다|자아분열 호러로 미국의 일상(환상)을 난도질|전작의 어깨에서 힘을 빼지 못한 과시작|트럼프 시대 미국(US)의 병폐는 우리(Us)에게서 기인한다는 자성|트럼프 시대의 현실 같은 괴담
MM1000189092,막다른 골목의 추억,,Memories of a Dead End,"힘겨운 날, 가만히 열어보고 싶은 이야기
나고야에 있는 애인 태규를 만나러 간 유미는 그에게 새로운 여자가 생겼음을 알게 된다.
뜻하지 않은 이별에 낯선 도시를 방황하던 유미는 우연히 막다른 골목에 위치한 카페 '엔드포인트'에 들어선다.
유미는 그곳에서 카페 주인 니시야마와 서로 다른 사연을 가진 사람들을 만나게 되는데...",박평식|이화정|장영엽,노닥거리는 아픔이라니|위로 받을 공간이 필요한 이들에게|지나고 나서야 알게 된다. 끝은 새로운 시작과 맞닿아 있다는 걸
MM1000189112,필그리미지,,Pilgrimage,"십자군 전쟁이 한창이던 때 아일랜드의 한 수도원에서는 성물을 지키고 있었다.
교황은 십자군전쟁에서 승리하기 위해 이를 로마로 들고 오기를 원했고, 로마에서 온 수도사가 아일랜드에서 성물을 지켜왔던 “디아뮈드”(톰 홀랜드) 와 “벙어리”(존 번탈), 수도사들은 함께 로마로 향한다.
성물을 가지고 로마로 가는 도중에, 이를 노리는 자인 ”레이몬드”(리차드 아미티지)의 일행이 나타나 죽을 위협에 처하게 되는데...
과연 이 수도사들은 성물을 과연 무사히 지켜내고, 로마까지 갈 수 있을 것인가...?",이용철|임수연,종교 갈등과 잔혹 액션 사이|종교는 죽음과 피를 먹고 산다
MM1000190550,스마트폰을 떨어뜨렸을 뿐인데,,Stolen Identity,"어느 날 남자친구 도미타(다나카 케이)에게 전화를 건 아사미(키타가와 케이코)는 스마트폰 너머로 낯선 남자의 목소리를 듣게 된다.
우연히 분실된 스마트폰을 주웠다는 그 남자는, 아사미를 통해 도미타의 스마트폰을 친절하게 돌려준다.
그런데 그 날 이후부터 아사미와 도미타 주변에 이해할 수 없는 사건들이 연발한다.
스마트폰을 주운 사람은 누구였을까?
그리고 점차 드러나는 또 다른 비밀은?

""아냐! 내가 한 게 아냐! 난 아무 짓도 안 했어!""

단지, 스마트폰을 떨어뜨렸을 뿐인데...",,
MM1000190786,오늘도 평화로운,,Super Margin,"영화감독이 꿈인 영준은 영화를 만들기 위해 오늘도 평화로운 그곳에서 노트북을 사려다 사기를 당한다.
직접 사기꾼들을 잡겠노라 결심한 영준은 무작정 중국으로 떠나는데…",김현수|이용철|이주현|이화정|허남웅,"A급 스케일, B급 똥배짱, C급 뻔뻔함|개이득 거래 한 느낌|만드는 건 자유다만…|배짱이 8할|백승기 영화 중 순한맛"
MM1000191128,콜드 체이싱,,Cold Pursuit,"복수에는 자비가 없다!
평범한 제설차 운전수이자 올해의 모범시민 ‘넬스 콕스맨’.
법 없이도 살 수 있던 그는 마약 조직의 사이코패스 보스 ‘바이킹’이 꾸며낸 아들의 처참한 죽음 앞에서 분노의 심판자로 다시 태어난다.
‘스피도’, ‘림보’, ‘산타’ 등 마피아들을 연달아 처단하며 그들의 소굴에 한 걸음 가까워질수록 ‘넬스’의 분노는 죽음도 대신할 수 없는 깊은 복수심으로 소용돌이 치는데...
리벤지 액션의 대부 리암 니슨의 새로운 귀환!
당한 만큼 갚아주는 냉혈한 복수가 시작된다!",이용철,"<파고>의 블랙코미디 버전, 외부인이 미국에 보내는 매운 조크"
MM1000191569,12번째 솔저,,The 12th Man,"전 세계를 놀라게 한 전설적인 전쟁 생존기!
제2차 세계대전 나치에 점령된 노르웨이.
나치를 함락시킬 유일한 ‘마틴 레드 작전’에 노르웨이 저항군 12명이 투입된다.
하지만 작전 도중 발각되어 이들 중 11명은 체포되고 단 1명, '얀'만이 총상을 입은 채 탈출에 성공한다.
혹독한 추위와 험난한 설산 속에서 냉혈한 나치 친위대 쿠르트 슈타게는 집요하게 추격해오는데...
제2차 세계 대전 생존 스토리 중 가장 처절하고 감동적인 탈출 실화가 공개된다!",이용철,"전쟁이 아닌, 신념과 믿음의 여정에 관한 이야기"
MM1000191797,돈,,Money,"""부자가 되고 싶었다""
오직 부자가 되고 싶은 꿈을 품고 여의도 증권가에 입성한 신입 주식 브로커 조일현(류준열).
빽도 줄도 없는, 수수료 O원의 그는 곧 해고 직전의 처지로 몰린다.
위기의 순간, 베일에 싸인 신화적인 작전 설계자 번호표(유지태)를 만나게 되고, 막대한 이익을 챙길 수 있는 거래 참여를 제안 받는다.
위험한 제안을 받아들인 후 순식간에 큰 돈을 벌게 되는 일현.
승승장구하는 일현 앞에 번호표의 뒤를 쫓던 금융감독원의 사냥개 한지철(조우진)이 나타나 그를 조여 오기 시작하는데...",김성훈|박평식|이용철|이화정|허남웅,"<월스트리트> 이후 30년, 변한 건?|돈이라는 절대 유혹, 시험대에 선 ‘여의도 스트리트’의 구현|새것, 헌것, 버릴 것|엔딩에 동의할 수 없는 게 흠|지금 방금 찍어낸 위조지폐 같은"
MM1000193316,키코리키: 시간여행,,Kikoriki: Deja Vu,"슈퍼 애니멀의 초특급 타임 익스프레스!
평생 잊지 못할 최고의 파티가 찾아온다!

평화롭고 한적한 마을에 사는 사고뭉치 개구쟁이 토끼 크래쉬는 
친구 배리에게 잊지 못할 생일 파티를 선사하기 위해 키코리키 친구들과 회의를 한다. 
조용하고 차분한 파티를 원하는 친구들과는 달리 신나게 파티를 보내고 싶던 
크래쉬는 시간 여행 서비스를 제공하는 데자뷰 여행사에 연락을 하게 된다.  
하지만 여행사 직원인 두더지 사원의 계략에 빠져 키코리키 친구들은 과거시대로 뿔뿔이 흩어지게 되고  
설상가상 크래쉬도 의문의 사건으로 인해   두더지 사원에게 쫓기게 되면서 위기를 맞게 되는데...  

과연 크래쉬와 키코리키 친구들은 버라이어티한 시간여행을 마치고
무사히 마을로 돌아 올 수 있을까?",,
MM1000193320,퍼스트 리폼드,,First Reformed,"나는 오늘부터 기도로 다 하지 못한 진짜 이야기를 하려고 한다.
이제는 역사 속 관광명소가 되어버려 신도들은 잘 찾지 않는 퍼스트 리폼드 교회의 목사 '톨러'(에단호크)는 자신의 하루를 털어놓을 수 있는 일기를 쓰기로 한다. 
일기는 컴퓨터가 아닌 노트에 직접 써서 지우고 수정없이 솔직한 자신을 그대로 남기기로 한다. 
그러던 어느 날, 신도 '메리'(아만다 사이프리드)가 찾아와 말할 수 없는 근심이 가득한 표정으로 자신의 남편을 만나달라는 간청을 하는데…",김성훈|김혜리|박평식|이용철|임수연|허남웅,"<택시 드라이버> <분노의 주먹> 이후 폴 슈레이더 최고의 영화|기도가 들여다보지 못하는 것들|디지털시대의 <시골 사제의 일기> 혹은 <희생>|분노하는 마음으로 기도하고 회개하는 마음으로 사랑을 붙잡다|비평가 폴 슈레이더가 흔쾌히 사랑할 폴 슈레이더 영화|수난과 희생, 부활의 계절에"
MM1000194052,한강에게,,To My River,"첫 시집을 준비하는 시인 ‘진아’.
오랜 연인 ‘길우’의 뜻밖의 사고 후 매일 비슷한 일상을 보내고 있다.
대학교에서 시 수업을 하고, 친구를 만나며 괜찮은 것 같지만 추억과 일상을 헤매며 써지지 않는 시를 붙잡고 있다.
“괜찮냐고 묻지 말아 줘…”
“자꾸 괜찮냐고 물어보니까. 안 괜찮은데 괜찮다고 말 해야되잖아”",김성훈|김현수|박평식|송형국|이화정,‘죄 없는 죄책감’이라는 시대 정서|괜찮지 않다고 알려주는 것만으로도|극복되지 않을 슬픔을 어루만지는 손길. 세심한 가운데 힘이 느껴진다|화면을 가득 채우는 상실의 공기로|흐르지 않는 마음에게
MM1000194134,강변호텔,,Hotel by the River,"강변의 호텔에 공짜로 묵고 있는 시인이 오랫동안 안 본 두 아들을 부른다.
아무 이유없이 죽을 거 같다는 느낌이 들어서 부른 거다.
한 젊은 여자가 같이 살던 남자에게 배신을 당한 후 강변의 호텔에 방을 잡았다.
위로를 받으려 선배 언니를 부른다. 다들 사는 게 힘들다.
그 강변의 호텔에서 하루는 하루가 다인 양 하루 안에서 계속 시작하고 있고, 사람들은 서로를 바라만 보고 있다.",김성훈|박평식|송경원,"가사만 바꾼 곡조로 휘감는 재능|노력하는 사람. 계속되는 재배치와 갱신. 그리고 여전한 떨림|숭고한 죽음이란 무엇인가, 영화 내내 쓸쓸하고 어두운 정취"
MM1000194144,똑딱똑딱 마법의 시계나라,,The Angel in the Clock,"""어둠의 마법으로 멈춰버린 시계왕국을 구해라!""
고장난 시계를 고치려고 엄마를 따라 시계수리점을 찾은 애니는 그곳에서 소원을 이뤄주는 마법의 시계 바늘을 발견한다.
그날 밤, 애니는 늘 아프고 약한 자신의 모습이 싫어 시간을 멈추고 싶다는 소원을 빌고 마법의 시계나라로 빠져든다.
하지만 어둠의 지배자 ‘다크’는 애니를 이용해 영원히 시간을 멈추고 시계나라를 차지할 음모를 꾸미는데...
세상의 끝에 사는 ""시간의 제왕""을 찾아 멈춘 시간을 다시 움직여야만 시계왕국을 구하고 집으로 돌아갈 수 있는 애니.
수호천사 ‘엔젤’과 바늘요정 ‘여기’와 ‘오늘’ 그리고 태엽시계 정령 ‘킹베어’, 캡틴 ‘클락’과 함께 애니의 신비하고 환상적인 마법의 시계나라 대 모험이 시작된다!",,
MM1000194165,아이 엠 마더,,Peppermint,"그들은 딸을 죽였고, 법은 놈들의 편에 섰다.
평범한 주부 ‘라일리’(제니퍼 가너)는 딸의 10번째 생일날, 마약 조직원들의 총격에 눈앞에서 남편과 딸을 잃는다.
충격에서 깨어난 ‘라일리’는 증인석에서 범인을 지목하지만, 부패한 판사는 이들을 풀어준다.
5년 후, 총격 사건과 연관 있는 인물들이 하나 둘씩 살해당하고 언론과 경찰은 거액의 돈과 함께 사라진 ‘라일리’를 범인으로 지목하는데...
모든 준비는 끝났다!
오늘, 그녀의 정의가 세상을 뒤흔든다!",김소미|박평식|이용철,묻거나 따지지 말라니|빈약한 무대 위로 도약하는 디바의 액션|이 정도면 약자들의 천사라 불러야
MM1000194198,미이라: 악령의 부활,,Mummy Reborn,"가난에 시달리던 티나는 막막한 마음에 일하는 가게 주인이 절대 손대지 말라던 미이라 유물을 훔치고 만다.
그날 이후, 벌어지는 불길한 사건들.
알고 보니 티나가 훔친 유물이 바로 고대의 악령이 봉인된 저주의 목걸이였던 것!
이제 티나는 목숨을 위협하는 미이라에 맞서 살아남아야만 한다.",,
MM1000194207,스피닝 맨,,SPINNING MAN,"여학생의 실종, 보이는 것과 믿는 것만이 전부가 아니다!
여학생이 실종된 후, 교수 ‘에반’이 유력한 용의자로 지목된다.
평범한 ‘에반’의 삶은 하루아침 엉망이 되고 가족과 동료의 외면 속, 결백을 증명하기 위해 발버둥친다.
하지만 명확한 사실과 달리 속속 발견되는 증거들, ‘에반’은 뒤엉킨 기억 속에서 새로운 진실을 찾기 시작하는데...
기억 속 진실게임이 시작된다!",,
MM1000194528,스카이 라인: 더 비욘드,,BEYOND THE SKY,"철저한 외계 존재 비관론자인 크리스는 외계인 납치설을 반증하는 다큐멘터리를 찍기 위해 로즈웰로 향한다.
우연히 찾아간 외계인 납치 피해자 모임에서 크리스는 7살 생일 때부터 7년마다 외계인에 납치됐다고 주장하는 에밀리를 만난다.
처음엔 에밀리의 증언을 비웃던 크리스도 여러 기이한 현상을 목격하면서 마음이 흔들리기 시작한다.
에밀리는 정말 외계인에게 납치됐던 것일까? 아니면 그 모든 기억이 정신 작용에 지나지 않는 것일까?
외계인들이 다시 찾아올 에밀리의 28살 생일이 다가오고 크리스와 에밀리는 미지의 존재로부터의 도피를 시작한다.",,
MM1000196039,로망,,Romang,"“겁나지 않아?” 
75세 조남봉과 71세 이매자는 치매 부부입니다
결혼 45년차, 몸도 마음도 닮아진 부부는 이제 세상에 단 둘만 있는 것처럼 삽니다
매일 기억이 흐릿해지지만, 먹고 사느라 잊었던 로망은 점점 더 선명해집니다
“올 것이 왔다 싶으니까 아무렇지도 않아요”",박평식|이용철|장영엽,"신파적인 소재임에도 담담하게 연출한다. 그래서 더 찡하다|젊은 연기, 늙은 연출|정영숙이 더 많은 영화에 나오지 않은 게 아쉽다"
MM1000196316,프로스펙트,,PROSPECT,"미지의 행성, 누군가가 있다!
반드시 탈출해야 한다!
그린문 행성에서 광물을 채집하던 ‘시이’는 의문의 채굴꾼 ‘에즈라’에게 아버지를 잃는다.
어쩔 수 없이 불편한 동행을 하게 된 ‘에즈라’와 ‘시이’는 새로운 광물을 찾고 위험천만한 행성을 탈출하기 위해 거주자와 거래를 시도하는데...
그 누구도 믿지 마라!
생존을 건 사투가 시작된다!",,
MM1000198165,더 캡틴,,The Captain,"괴물이 되어버린 가짜 장교의 전쟁실화
제2차 대전은 끝이 났지만 싸움은 끝나지 않았다.
탈영병으로 몰린 헤롤트는 죽을 위기에서 기적적으로 살아난 뒤, 우연히 나치 간부의 군복을 발견한다.
한 벌의 군복으로 가짜지만 대위가 된 헤롤트는 히틀러의 직속 명령이라는 거짓 임무를 내세워 ‘헤롤트 기동 부대’를 만들어 권력을 키워간다.
어느새 헤롤트는 탈영병으로 쫓기던 신세에서 자신을 쫓던 나치 장교와 같은 괴물로 변해가기 시작하는데...",김현수|이용철,거꾸로 흘러 더욱 잔인한 역사와 개인의 비극|완장 아래 드러난 본색
MM1000198200,"다시, 봄",,"Spring, Again","깨어나 보니 어제, 나의 시간이 하루씩 뒤로 가기 시작했다!
인생의 유일한 행복인 딸을 사고로 잃은 후 절망에 빠진 ‘은조’(이청아).
중대한 결심을 한 그날, 눈을 떠보니 시간이 어제로 되돌아갔다.
거꾸로 흐르는 시간을 살게 된 ‘은조’는 불행했던 자신의 어제를 바꾸며 행복한 시간을 보내지만, 계속 어제로 흐르는 시간에 마음이 초조해진다.
그러던 어느 날, 시간여행에 관한 미스터리한 키를 쥔 남자 ‘호민’(홍종현)을 만나게 되는데...
시간을 되돌려, 새로운 내일을 맞이할 수 있을까?",,
MM1000198252,베카신!,,Becassine !,"“실수남발! But 천진난만! 순수함 그 자체!”
프랑스에서 가장 오랫동안 사랑받아온 만화 캐릭터, 베카신!
엉뚱한 시골뜨기 베카신의 기발하고 사랑스러운 일상 어드벤처!
20세기 초 파리 근교 브르타뉴의 어느 시골마을.
빨래, 바느질, 밭일 뭐 하나 똑 부러지게 못하지만 마음만은 행복한 베카신은 일거리를 찾아 꿈의 도시 파리로 향한다!
부푼 꿈을 안고 파리로 가던 길, 후작 부인의 집에 입양된 아기 룰로트를 우연히 만난 베카신은 보모로서 특출난(?) 재능을 선보이며 대저택에 특별채용 된다.
베카신의 남다른 상상력과 기술로 대저택은 활기를 더해가는 무렵, 후작 부인의 재산을 노리는 마리오네뜨 놀이꾼이 저택에 눌러 앉게 되는데...",김소미|박평식|이용철,과학기술 시대에 쨍한 순수의 물감을 풀다|낯선 감정은 장점이자 단점|어색하게 알록달록
MM1000199214,장난스런 키스,,Fall in Love at First Kiss,"내가 좋아하는 사람이 날 좋아할 확률은 얼마나 될까?
A반 남신 ‘장즈수’와 처음 본 순간 KISS한 F반 ‘위안샹친’!
수학처럼 안 풀려도 절대 포기할 수 없는 확률 0% 멀고도 용감한 짝사랑 일대기
장난 아니게 설레는 로코의 새로운 흥행 공식",박평식|이용철|이주현,"뒤집어 생각하면, 소름 끼칠걸|만화에서나 허용 가능한 것을 영화로 구현하는 뻔뻔함, 그 마력|벌꿀로 버무린 대륙반점 볶음밥"
MM1000199295,나의 작은 시인에게,,The Kindergarten Teacher,"“문득 시가 떠오르면 넌 시를 읊고, 난 받아 적는 거야”
유치원에서 아이들을 가르치는 ‘리사’는 따분하고 반복되는 일상 속에서 시를 통해 예술적 욕망을 충족시키고자 하지만 재능이 따라주지 않는다.
우연히 자신의 학생 다섯 살 ‘지미’가 시에 천재적인 재능이 있음을 발견하고, 아이의 시를 자신의 시수업에서 발표하게 되는데...",이용철|이주현,무시무시하고 불편한 이스라엘 원작을 평범하게 만드는 미국식 재주|중년 여성의 빗나간 선한 의도와 열망을 속속들이 묘파한 심리극
MM1000199551,유랑지구,,The Wandering Earth,"37시간 뒤, 모든 것이 사라진다.
대재앙에 맞서 지구를 옮겨라!
가까운 미래, 태양계 소멸 위기를 맞은 지구는 영하 70도의 이상 기후와 함께 목성과의 충돌이라는 대재앙에 직면한다.
그러자, 전 세계 연합정부는 지구 자체를 태양계 밖으로 이동시키기 위한 범우주적 인류이민계획을 세우는데...
인류 생존을 위한 마지막 프로젝트가 시작된다!
",박평식|송경원,"대국굴기, 우주굴기에 이은 중국 영화굴기의 현주소|허풍을 키우는 비주얼에 헉헉"
MM1000199599,샤잠!,,SHAZAM!,"모든 히어로의 능력이 하나로 모였다!

솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 
자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다!

주문을 외쳐라, 샤잠!",박평식|이용철|임수연|허남웅,"<빅>에 팬보이 감성 더하기. 다인종 대안가정으로 트렌드 읽기|고뇌, 어둠 이런 거 없는 질풍노도 시기의 슈퍼히어로|우뢰매의 미국 친구들|이건 재롱둥이 슈퍼히어로로 분류해야 하나"
MM1000199616,아메리카 뮤직&와일드,,America's Musical Journey & America Wild,"당신의 마음을 요동치게 만든 음악, 세상을 움직이는 위대한 여행으로 이어지다!
음악의 모든 것!
재즈, 로큰롤, 알앤비, 힙합, 일레트로닉, 루이 암스트롱, 엘비스 프레슬리, 스티비 원더…
1920년대를 풍미한 음악의 시대를 따라가면, 지금, 세상의 모든 흥이 폭발한다!
여행의 모든 것!
우리의 발길이 닿을 수 있는 지상 최대의 낙원이자 대한민국 총 면적의 두 배가 넘는 미 국립공원.
기적 같은 자연의 발자취를 쫓는 순간 지금, 놀라움을 넘어 선 경이로움이 펼쳐진다!",김소미|박평식|이용철,넘치는 사람과 거대한 자연이 만든 미국의 멜로디|노래도 풍경도 원더풀|대중 다큐의 장인이 둘러본 미국의 음악과 자연
MM1000199742,노무현과 바보들,,,"1981년, ‘부림사건’의 변호인
1988년, ‘청문회 스타’ 제13대 국회의원
1998년, ‘오뚝이 인생’ 제15대 국회의원
2002년, ‘꼴찌의 반란’ 대선후보 선출
2003~2008년, 제16대 대한민국 대통령 재임
2009년 5월 23일, 서거
그로부터 10년-
바보 대통령 故 노무현, 그를 기억하고 그리워하는 사람들의 이야기.",김성훈|김현수|박평식|이용철,"그러니 깨어 있으라|여전히 청산되지 않은 적폐들에게|왜 또 만들었냐고? 나쁜놈들이 그대로인데 가만히 있을까?|우리는 왜 바보가 되었는가, 되어야 하는가"
MM1000199787,안도 타다오,,Samurai Architect Tadao Ando,"빛의 교회, 지중미술관, 푼타 델라 도가나 미술관 등 세계를 사로잡은 건축가!
전문적인 건축교육을 받지 못했지만, 타고난 예술성과 도전정신으로 실력을 인정받은 안도 타다오. 
고교시절엔 복서로, 청년시절엔 건축 현장에서 치열한 나날을 보냈던 그는 우연히 서점에서 설계도면을 본 후, 건축가의 꿈을 안고 유럽으로 향한다.
현장에서 익힌 건축지식을 기반으로 콘크리트를 연구한 끝에 누구도 만들 수 없는 건축물을 만들며 노출 콘크리트의 거장이 된 그의 이야기가 시작된다!",박평식|이용철|이주현,건축뿐 아니라 인간적 매력에도 빠지게 된다|엄숙하되 아늑한 ‘공구리 예술’|콘크리트처럼 강하고 단단한 목소리
MM1000200340,스탈린이 죽었다!,,The Death of Stalin,"“권력을 향한 싸움이 시작된다”
1953년 소련의 절대 권력자 스탈린이 갑작스럽게 쓰러진다.
권력을 향한 치열한 암투가 시작되고 스탈린의 장례식이 거행되는 운명의 날은 밝아온다.",김현수|박평식|이용철,"권력, 그 악랄하고 어리석고 허망한|세상에서 둘도 없는 졸렬한 장례식 주인공은 스탈린|최고의 조롱감 정치인, 문제는 못된 놈일수록 자각 못한다는 거"
MM1000200785,왓칭,,Watching,회사 주차장에서 납치 당한 여자(강예원)가 자신을 조여오는 감시를 피해 필사의 탈주를 감행하는 공포 스릴러,김성훈|박평식|이용철|장영엽,강예원의 극한 액션|고구마에 건빵까지 먹인다|왓칭하기가 힘들었다|의욕은 좋은데 이야기는 아슬아슬
MM1000200852,봄은 온다,,Life goes on,"2011년 3월 11일 동일본 대지진 그 후, 무너진 땅 위에서 여전히 마음과 삶을 굳건히 일구는 사람들.
계절이 가고 풍경은 변했지만 그래도 삶은 소중하다고 말하는 이들의 뭉클한 희망에 대한 이야기.
동일본 대지진, 2011년 3월 11일 14시 46분에 발생한 동일본 대지진은 진도 9.0의 강력한 지진으로 전 세계에 슬픔과 아픔을 가져온 사고였다.
재해 직후 피해자 수는 약 47만 명에 이르렀고 일본 역사상 최악의 지진으로 기록되었다.
일본 부흥청에 따르면 2017년 9월 1일 기준, 동일본 대지진으로 인한 사망자는 19,575명, 실종자는 2,577명이다.",이다혜,"3·11 동일본 대지진 이후의 삶, 봄은 이제야 오는가"
MM1000202388,러브리스,,Loveless,"이혼을 앞둔 부모가 자신을 서로에게 떠넘기고 있다는 사실을 알게 된 열두 살 소년이 어느 날 갑자기 사라진다.
아이의 실종을 뒤늦게 알아챈 부부는 함께 아이의 행방을 쫓기 시작한다.
“사랑 없는 삶… 그렇게는 살 수 없어.”
제냐와 보리스는 이혼을 준비 중이다. 더 이상 서로를 견딜 수가 없는 것이다.
분노와 좌절만이 남은 결혼 생활은 자연스럽게 끝을 향해 달려간다.
이미 두 사람은 각자의 연인을 만나 새로운 삶에 대한 기대감으로 잔뜩 들떠있다.
열두 살밖에 되지 않은 아들 알로샤는 그들의 새로운 시작에 걸림돌일 뿐이다.
어느 날, 소년은 부모가 자신을 서로에게 떠넘기려 한다는 사실을 듣게 된다.
다음 날 알로샤는 사라지고 부부는 뒤늦게 알로샤를 찾으려 한다.",박평식|이용철|장영엽,"레비나스의 ‘타자 윤리학’이 절실한 세상|밤과 고독으로의 여로|에덴에서 쫓겨난 자, 돌아갈 곳은 없나니"
MM1000204215,도우터 오브 마인,,Daughter of mine,"친구 안젤리카가 책임질 수 없었던 아이 비토리아의 엄마가 되어 준 티나.
10년의 시간을 함께하며 티나는 비토리아가 완전히 자신의 딸이 되었다고 믿지만
비토리아가 안젤리카의 존재를 눈치채면서 상황은 걷잡을 수 없이 달라진다.

한편 안젤리카는 자신이 엄마가 될 수 있다고 생각해본 적 없지만
딸을 마주한 순간 한 번도 느껴보지 못한 감정을 마주하는데…",박평식|이용철|임수연,막장의 잡석을 다듬어 빛낸 솜씨|모성에 옳고 그름이 어디 있다니|여자들이 아니면 만들 수 없는 영화가 있다
MM1000204996,미성년,,Another Child,"""알아?""
""어떻게 모르냐. 배가 불러오는데...""
같은 학교 2학년 주리(김혜준)와 윤아(박세진)가 학교 옥상에서 만났다.
최근 주리의 아빠 대원(김윤석)과 윤아의 엄마 미희(김소진) 사이에 벌어진 일을 알게 된 두 사람.
이 상황이 커지는 것을 막고 싶은 주리는 어떻게든 엄마 영주(염정아) 몰래 수습해보려 하지만 윤아는 어른들 일에는 관심 없다며 엮이지 않으려 한다.
그 때, 떨어진 주리의 핸드폰을 뺏어든 윤아는 영주의 전화를 받아 그 동안 감춰왔던 엄청난 비밀을 폭로해 버리고, 이를 본 주리는 멘붕에 빠지게 되는데...
폭풍 같은 사건을 마주한 두 가족의 이야기가 시작된다.
",김현수|김혜리|박평식|이다혜|이용철|이주현|이화정|임수연|장영엽|허남웅,"‘감독 김윤석’의 리듬, 호흡, 시선이 읽힌다. 차기작을 기다리게 만드는 감독|그가 연기했던 수많은 악한들이 잘못했다고 비는 것 같다|김윤석의 다른 면모‘들’|남성 배우/감독의 기대를 넘어선 균형과 객관화|누구 한명에게도 소홀하지 않는다. 배우를 잘 아는 사람이 만든 영화|당신, 정말 얄밉다|배우들에게 자리를 양보한 연출|배우들의 앙상블을 보는 굉장한 재미, 연기자-연출가의 힘|앙상블, 디테일, 유머. 아마도 올해의 데뷔작|이야기의 야심을 줄이자, 더 돋보이는 연출력"
MM1000205038,바이스,,VICE,"미국 부통령이었던 딕 체니의 파란만장한 정치인생을 다룬 영화
이것은 실화다, 그는 역사상 가장 비밀스러운 권력자였으므로 혹은 실화에 가까운 이야기다.
대기업의 CEO에서 펜타곤 수장을 거쳐 미국 부통령까지 오른 딕 체니(크리스찬 베일).
재임 시절, 보이지 않는 이면에서 그가 내린 결정들은 세계의 흐름을 바꿔 놓았고 뒤바뀐 역사는 다시는 회복될 수 없는 시간에 묻혀버렸다.
이제 그가 바꾼 글로벌한 역사의 변곡점들을 추적한다.",박평식|이용철|장영엽|허남웅,"세계에서 가장 덜 유명한, 가장 치명적인 악당 이야기|아카데미 연기상은 크리스천 베일이 받아야 했다|여러모로 <닉슨>과 비슷하다, 어느 게 오래 기억될지 모르겠지만|영악한 괴물 또는 악성 바이러스"
MM1000205076,뷰티플 마인드,,Listen to Your Heart. The Beautiful Mind,"10세부터 30세, 천재부터 노력파, 장애부터 비장애까지 저마다의 뮤지션들이 ‘뷰티플마인드 오케스트라’의 멤버가 된다!?
세상 극과 극의 개성으로 뭉친 ‘뷰티플 마인드’의 멤버들. 
알고 보니, 마음 속 고민의 불협화음까지 닮았다!
혼자만의 쉼표, 도돌이표를 벗어나 난생 처음으로 함께하는 기적의 하모니를 꿈꿔보는데...",박평식|이용철,"취미로 연주하는 게 아니다, 값싼 연민은 버릴 것|평안을 찾는 이들에게"
MM1000205095,생일,,Birthday,"""2014년 4월 이후... 남겨진 우리들의 이야기""
세상을 먼저 떠난 아들 ‘수호’ 에 대한 그리움을 안고 살아가는 '정일'과 '순남'의 가족.
어김없이 올해도 아들의 생일이 돌아오고, 가족들의 그리움은 더욱 커져만 간다.
수호가 없는 수호의 생일.
가족과 친구들은 함께 모여 서로가 간직했던 특별한 기억을 선물하기로 하는데...
1년에 단 하루. 널 위해, 우리 모두가 다시 만나는 날.
""영원히 널 잊지 않을게.""",박평식|송형국|이용철|이주현|임수연|허남웅,"곁을 지켜야 알 수 있는 것들|공감과 공유와 기억으로 호소하는 기다림의 시간|기억해야 할 마음을 기록하는 영화|안녕, 잠긴 목소리로 간절하게|죽음보다 삶으로 기억하고 싶었을까|지금 우리가 세월호에 관해 기억하고, 통과해야 할 감정들"
MM1000205389,하트스톤,,Heartstone,"아이슬란드의 바닷가 마을
처음 사랑을 느낀 두 소년 ‘토르’와 ‘크리스티안’의 시린 여름을 담은 어쩌면- 잃어버린 나와 우리의 결코- 잊지 못할 세계에 관한 이야기",김소미|박평식|이용철,맑고 투명해서 고통이 비칠 것 같은|몸도 마음도 자맥질하는 시절|살결이 닿은 찰나로부터 영원히
MM1000205583,공포의 묘지,,Pet Sematary,"“아빠, 왜 날 살렸어…?”
죽었던 딸이 돌아오고, 진정한 공포가 시작된다!

갑작스런 사고로 딸 엘리를 잃은 크리드는 죽은 것이 살아 돌아온다는 애완동물 공동묘지에 딸을 묻게 되고, 어딘가 다른 모습으로 돌아온 엘리는 무시무시한 공포의 대상이 되어 가족들의 숨통을 조여오는데…",김성훈|이용철,무섭다기보다 마주하기 괴롭다|인물의 갑갑함은 그대로
