META_ID,META_TITLE,SUB_TITLE,ENGL_TITLE,OPEN_DY,DMST_SPCT_CNT,SRIS_NM,BTV_OPEN_DT,META_MANUF_CTRY_CD,META_MANUF_CTRY_NM,GNR_ID,META_GNR_NM,WAT_LVL_CD,WAT_LVL_NM,MANUFCO_NM,DSTBTCO_NM,SSTRY_CIN_YN,KIDS_YN
MM1000176194,더 페이버릿: 여왕의 여자,,THE FAVOURITE,20190221,70982,더 페이버릿: 여왕의 여자,20190404090000,002,미국,MG0000000001|MG0000000016,드라마|사극,15,15세 관람가,,이십세기폭스코리아(주),N,
MM1000335674,더 하우스,,,20191212,,더 하우스,20191216090000,001,대한민국,MG0000000003|MG0000000004|MG0000000012,스릴러|공포(호러)|미스터리,15,15세 관람가,(주)뉴버드 ,(주)이놀미디어,N,
MM1000265716,던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-,,Is It Wrong to Try to Pick Up Girls in a Dungeon? -Arrow of the Orion-,20190418,7526,던전에서 만남을 추구하면 안 되는 걸까? -오리온의 화살-,20190719090000,003,일본,MG0000000142|MG0000000143|MG0000000144|MG0000000148,판타지|어드벤처|액션|코미디,12,12세 관람가,J.C STAFF,(주)애니플러스,N,
MM1000242724,덤보,,Dumbo,20190327,345522,덤보,20190625090000,002,미국,MG0000000006|MG0000000014,판타지|가족,0,전체 관람가,,월트 디즈니 컴퍼니 코리아 ,N,
MM1000293549,데드 돈 다이,,The Dead Don't Die,20190731,4150,데드 돈 다이,20190828090000,002,미국,MG0000000004|MG0000000006|MG0000000010,공포(호러)|판타지|코미디,15,15세 관람가,,유니버설 픽쳐스 ,N,
MM1000118454,데드풀 2: 순한맛,,ONCE UPON A DEADPOOL,20190103,,데드풀 2: 순한 맛,20190118090000,002,미국,MG0000000002|MG0000000010|MG0000000013|MG0000000015,액션|코미디|어드벤처|SF,12,12세 관람가,,이십세기폭스코리아(주),N,
MM1000133246,데들리 스토커,,Capture,20190124,,데들리 스토커,20190207090000,002,미국,MG0000000001|MG0000000004,드라마|공포(호러),15,15세 관람가,,라온아이(주),N,
MM1000170109,데스티네이션 콘트롤,,Frequencies,20190321,,데스티네이션 콘트롤,20190328090000,008|011,영국|호주,MG0000000006|MG0000000011|MG0000000012,판타지|멜로/로맨스|미스터리,15,15세 관람가,,(주)케이알씨지,N,
MM1000313647,도심속의 방,,Une chambre en ville,20190822,,도심속의 방,20191011090000,007,프랑스,MG0000000001|MG0000000018,드라마|뮤지컬,15,15세 관람가,,(주)에스와이코마드,N,
MM1000204215,도우터 오브 마인,,Daughter of mine,20190425,,도우터 오브 마인,20190503090000,013|018|022,독일|스위스|이탈리아,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,주식회사 씨네룩스,N,
MM1000150870,도쿄의 밤하늘은 항상 가장 짙은 블루,,The Tokyo Night Sky Is Always the Densest Shade of Blue,20190214,346,도쿄의 밤하늘은 항상 가장 짙은 블루,20190305090000,003,일본,MG0000000001|MG0000000011,드라마|멜로/로맨스,15,15세 관람가,,(주)디오시네마 ,N,
MM1000191797,돈,,Money,20190320,2669647,돈,20190422090000,001,대한민국,MG0000000001|MG0000000005,드라마|범죄,15,15세 관람가,"(주)사나이픽처스 , (주)영화사 월광 ",(주)쇼박스 ,N,
MM1000103011,돈 겟 아웃!,,Don't Get Out!,20190110,,돈 겟 아웃!,20181227090000,013,독일,MG0000000001|MG0000000003,드라마|스릴러,15,15세 관람가,,,N,
MM1000278740,돈 워리,,"Don't Worry, He Won't Get Far on Foot",20190725,,돈 워리,20190808090000,002,미국,MG0000000001|MG0000000011|MG0000000014,드라마|멜로/로맨스|가족,15,15세 관람가,,"그린나래미디어(주), (주)다날엔터테인먼트",N,
MM1000227591,돈키호테를 죽인 사나이,,The Man Who Killed Don Quixote,20190523,339,돈키호테를 죽인 사나이,20190604090000,007|008|019|027,프랑스|영국|스페인|포르투갈,MG0000000001|MG0000000013,드라마|어드벤처,12,12세 관람가,,(주)디스테이션 ,N,
MM1000322137,동명이인 프로젝트 시즌2,,TWO PERSON AT THE SAME TOWN SE2,20190704,130,동명이인 프로젝트 시즌2,20191024090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,올드웨일,올드웨일,N,
MM1000316080,"동물, 원",,"Garden, Zoological",20190905,787,"동물, 원",20191001090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,케프-ㄹ러49,(주)시네마달,N,
MM1000127725,"두 번째 여름, 두 번 다시 만날 수 없는 너",,"Second Summer, Never See You Again",20190123,,"두 번째 여름, 두 번 다시 만날 수 없는 너",20190128090000,003,일본,MG0000000001|MG0000000011,드라마|멜로/로맨스,0,전체 관람가,,"(주)브리즈픽처스, (주)영화사오원",N,
MM1000324694,두번할까요,,"LOVE, AGAIN",20191017,1082,두번할까요[캐치온],20200103000000,001,대한민국,MG0000000010|MG0000000011,코미디|멜로/로맨스,15,15세 관람가,(주)영화사울림,(주)리틀빅픽쳐스,N,
MM1000166408,드래곤 길들이기 3,,How to Train Your Dragon: The Hidden World,20190130,1464741,드래곤 길들이기 3,20190327000000,002,미국,MG0000000008|MG0000000013,애니메이션|어드벤처,0,전체 관람가,,유니버설픽쳐스인터내셔널코리아 ,N,
MM1000336070,드래곤 빌리지,,Family of Mischief,20191212,,드래곤 빌리지[우리말],20191216090000,111,터키,MG0000000142|MG0000000143|MG0000000148,판타지|어드벤처|코미디,0,전체 관람가,,와이드 릴리즈(주),N,
MM1000143771,드래곤볼 슈퍼: 브로리,,Dragon Ball Super: Broly,20190214,,드래곤볼 슈퍼 브로리,20190218000000,003,일본,MG0000000142|MG0000000143|MG0000000144,판타지|어드벤처|액션,0,전체 관람가,토에이 애니메이션 ,(주)이수C&E,N,
MM1000326282,드레드아웃,,DreadOut,20191112,,드레드아웃,20191112090000,099,인도네시아,MG0000000003|MG0000000004|MG0000000013,스릴러|공포(호러)|어드벤처,15,15세 관람가,,(주)엔케이컨텐츠,N,
MM1000120747,디 엔드?,,The End?,20190117,,디 엔드?,20190117090000,022,이탈리아,MG0000000003|MG0000000004,스릴러|공포(호러),19,19세 관람가,,(주)스토리제이 ,N,
MM1000115034,디스 크레이지 하트,,This Crazy Heart,20190110,,디스 크레이지 하트,20190110090000,013,독일,MG0000000001|MG0000000010,드라마|코미디,12,12세 관람가,,예지림엔터테인먼트,N,
MM1000316089,디스트로이어,,Destroyer,20190919,,디스트로이어,20191001090000,002,미국,MG0000000003|MG0000000005,스릴러|범죄,15,15세 관람가,,(주)라이크 콘텐츠,N,
MM1000337163,디아스포라의 노래: 아리랑로드,,,20191212,,디아스포라의 노래: 아리랑로드,20191219090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,KBS미디어 케이씨워크 ,(주)드림팩트엔터테인먼트,N,
MM1000320186,디어 마이 프렌드,,Then Came You,20191009,960,디어 마이 프렌드,20191016090000,002,미국,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,,(주)팝엔터테인먼트,N,
MM1000337985,디에고,,Diego Maradona,20191212,,디에고,20191226090000,008,영국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,,워터홀컴퍼니(주),N,
MM1000323761,디터 람스,,Rams,20190822,5859,디터 람스,20191031090000,002,미국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,,하준사,N,
MM1000194144,똑딱똑딱 마법의 시계나라,,The Angel in the Clock,20190417,,똑딱똑딱 마법의 시계나라,20190424090000,016,멕시코,MG0000000006|MG0000000008,판타지|애니메이션,0,전체 관람가,,와이드 릴리즈(주) ,N,
MM1000337007,라 파미에,,Lola and Her Brothers,20191212,,라 파미에,20191223090000,007,프랑스,MG0000000001|MG0000000010,드라마|코미디,12,12세 관람가,,(주)에스와이코마드,N,
MM1000179986,라스트 미션,,The Mule,20190314,99299,라스트 미션(2019),20190411090000,002,미국,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,워너브러더스 코리아(주),N,
MM1000337192,라스트 씬,,Last Scene,20191212,,라스트 씬(2019),20191224090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,"오지필름 , 국도예술관 ",(주)시네마달,N,
MM1000337879,라스트 크리스마스,,Last Christmas,20191205,1003,라스트 크리스마스,20200102080000,002,미국,MG0000000010|MG0000000011,코미디|멜로/로맨스,12,12세 관람가,,유니버설 픽쳐스 ,N,
MM1000245384,라이딩 업힐,,Riding Uphill,20190628,,라이딩 업힐,20190627090000,003,일본,MG0000000001|MG0000000013,드라마|어드벤처,12,12세 관람가,,(주)드림팩트엔터테인먼트 ,N,
MM1000317051,라이온 킹,라이온 킹(2019),The Lion King,20190717,4743662,라이온 킹(2019),20191002160000,002,미국,MG0000000001|MG0000000013|MG0000000014,드라마|어드벤처|가족,0,전체 관람가,,월트디즈니컴퍼니코리아 유한책임회사,N,
MM1000213272,라플라스의 마녀,,Laplace's Witch,20190509,,라플라스의 마녀,20190515090000,003,일본,MG0000000003|MG0000000012,스릴러|미스터리,12,12세 관람가,,(주)영화사 빅 ,N,
MM1000328768,람보: 라스트 워,,Rambo: Last Blood,20191023,89621,람보: 라스트 워,20191202090000,002,미국,MG0000000001|MG0000000002,드라마|액션,19,19세 관람가,,(주)제이앤씨미디어그룹 ,N,
MM1000156905,래미의 초특급 시간여행,,pleasant goat and big big wolf amazing pleasant goat,20190227,,래미의 초특급 시간여행[우리말],20190307090000,004,중국,MG0000000121|MG0000000128|MG0000000133,키즈무비|어드벤처|히어로,0,전체 관람가,,와이드 릴리즈(주),N,
MM1000336051,러브 앳,,Love at Second Sight,20191127,41702,러브 앳,20191217090000,007|040,프랑스|벨기에,MG0000000010|MG0000000011,코미디|멜로/로맨스,12,12세 관람가,,(주)크리픽쳐스,N,
MM1000297968,러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,20190214,26931,러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,20190903090000,003,일본,MG0000000147|MG0000000150|MG0000000397,드라마|학원물|아이돌,0,전체 관람가,선라이즈,(주)애니플러스,N,
MM1000202388,러브리스,,Loveless,20190418,214,러브리스,20190502000000,007|013|015,프랑스|독일|러시아,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,그린나래미디어(주),N,
MM1000155464,레고 무비 2,,The Lego Movie 2: The Second Part,20190206,287,레고 무비 2,20190306090000,002|009|011|036|053,미국|캐나다|호주|덴마크|노르웨이,MG0000000002|MG0000000008|MG0000000010|MG0000000013|MG0000000014,액션|애니메이션|코미디|어드벤처|가족,0,전체 관람가,,워너브러더스 코리아(주),N,
MM1000324156,레드 사이렌,,The Red Siren,20191101,,레드 사이렌,20191101090000,007,프랑스,MG0000000002|MG0000000003|MG0000000005,액션|스릴러|범죄,19,19세 관람가,,(유)헤이데이웍스,N,
MM1000280701,레드슈즈,,Red Shoes,20190725,182,레드슈즈,20190821000000,001,대한민국,MG0000000142|MG0000000143|MG0000000144|MG0000000146|MG0000000148,판타지|어드벤처|액션|순정|코미디,0,전체 관람가,(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW),N,
MM1000115408,레인보우: 나의 사랑,,Una questione privata,20190103,252,레인보우: 나의 사랑,20190110090000,007|022,프랑스|이탈리아,MG0000000001|MG0000000011,드라마|멜로/로맨스,12,12세 관람가,,(주)마노엔터테인먼트,N,
MM1000128263,레토,,Summer,20190103,2107,레토,20190130090000,007|015,프랑스|러시아,MG0000000001|MG0000000011,드라마|멜로/로맨스,15,15세 관람가,,"(주)엣나인필름, 플레이리스트(주)",N,
MM1000316092,레플리카,,Replicas,20190925,,레플리카,20191004090000,002|008,미국|영국,MG0000000003|MG0000000005|MG0000000012|MG0000000015,스릴러|범죄|미스터리|SF,15,15세 관람가,,(주)제이앤씨미디어그룹 ,N,
MM1000196039,로망,,Romang,20190403,6372,로망,20190425090000,001,대한민국,MG0000000001|MG0000000011,드라마|멜로/로맨스,0,전체 관람가,"메이스엔터테인먼트 , (주)제이지 픽쳐스 , (주)MBC충북 ",(주)메리크리스마스 ,N,
MM1000335520,로빈: 살인자의 유혹,,Robin,20191216,,로빈: 살인자의 유혹[캐치온],20200608000000,036,덴마크,MG0000000003|MG0000000012,스릴러|미스터리,19,19세 관람가,,,N,
MM1000313629,로슈포르의 숙녀들,,The Young Girls of Rochefort,20190822,,로슈포르의 숙녀들,20191011090000,007,프랑스,MG0000000001|MG0000000010|MG0000000018,드라마|코미디|뮤지컬,12,12세 관람가,,에스와이코마드 ,N,
MM1000222551,로제타,,Rosetta,20190523,,로제타,20190530090000,007|040,프랑스|벨기에,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,아이 엠(eye m) ,N,
MM1000216424,로지,,Rosie,20190516,,로지,20190521090000,021,아일랜드,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,,BoXoo 엔터테인먼트 ,N,
MM1000243830,로켓맨,,Rocketman,20190605,401,로켓맨,20190703090000,002|008,미국|영국,MG0000000001|MG0000000006,드라마|판타지,15,15세 관람가,,롯데엔터테인먼트 ,N,
MM1000313635,롤라,,Lola,20190822,,롤라,20191011090000,007|022,프랑스|이탈리아,MG0000000011|MG0000000018,멜로/로맨스|뮤지컬,12,12세 관람가,,에스와이코마드 ,N,
MM1000256138,롱 리브 더 킹: 목포 영웅,,Long Live the King,20190619,1024457,롱 리브 더 킹: 목포 영웅,20190710090000,001,대한민국,MG0000000001|MG0000000002,드라마|액션,15,15세 관람가,"(주)영화사필름몬스터 , (주)비에이엔터테인먼트 ","메가박스중앙(주)플러스엠, (주)콘텐츠 난다긴다",N,
MM1000278899,롱 샷,,LONG SHOT,20190724,6326,롱 샷,20190809090000,002,미국,MG0000000001|MG0000000010,드라마|코미디,15,15세 관람가,,"TCO(주)더콘텐츠온 , (주)제이앤씨미디어그룹 ",N,
MM1000183639,루스 베이더 긴즈버그: 나는 반대한다,,RBG,20190328,3860,루스 베이더 긴즈버그: 나는 반대한다,20190416090000,002,미국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,,영화사 진진 ,N,
MM1000356606,룩 어웨이,[캐치온],Look Away,20190821,,룩 어웨이[캐치온],20200323000000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),19,19세 관람가,,(주)드림팩트엔터테인먼트 ,N,
MM1000299928,룩 어웨이,,Look Away,20190821,126,룩 어웨이,20190905090000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),15,15세 관람가,,(주)드림팩트엔터테인먼트,N,
MM1000163652,리노,,Lino - Adventure of Seven Lives,20190307,186,리노,20190318090000,012,브라질,MG0000000008|MG0000000013|MG0000000014,애니메이션|어드벤처|가족,0,전체 관람가,폭스 인터내셔널 프러덕션 ,(주)스톰픽쳐스코리아 ,N,
MM1000319644,리메모리-기억추출,,Rememory,20191017,,리메모리: 기억추출,20191017090000,002|009,미국|캐나다,MG0000000001|MG0000000012|MG0000000015,드라마|미스터리|SF,15,15세 관람가,,(주)도키엔터테인먼트,N,
MM1000123495,리지,,LIzzie,20190110,85,리지,20190123090000,002,미국,MG0000000001|MG0000000003|MG0000000005|MG0000000012,드라마|스릴러|범죄|미스터리,19,19세 관람가,,(주)팝엔터테인먼트,N,
MM1000254416,마담 싸이코,,Greta,20190626,,마담 싸이코,20190708090000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),15,15세 관람가,,(주)쇼박스,N,
MM1000265996,마리아 칼라스: 세기의 디바,,Maria by Callas: In Her Own Words,20190711,,마리아 칼라스: 세기의 디바,20190730090000,007,프랑스,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,,(주)영화사 진진,N,
MM1000328823,마법안개의 비밀: 황금 보물선을 찾아라,,Captain Morten and the Spider Queen,20191114,371,마법안개의 비밀:황금 보물선을 찾아라,20191119090000,008|021|040|089,영국|아일랜드|벨기에|에스토니아,MG0000000142|MG0000000143|MG0000000395,판타지|어드벤처|가족,0,전체 관람가,,와이드 릴리즈(주),N,
MM1000317637,마왕의 딸 이리샤,,"Ireesha, The Daughter of Elf-king",20190926,11698,마왕의 딸 이리샤,20191010090000,001,대한민국,MG0000000142|MG0000000143,판타지|어드벤처,0,전체 관람가,"한국영화아카데미, (주)지금이 아니면 안돼","(주)싸이더스, (주)삼백상회",N,
MM1000289681,마이펫의 이중생활 2,,The Secret Life of Pets 2,20190731,181466,마이펫의 이중생활 2,20190828000000,002,미국,MG0000000008|MG0000000010|MG0000000013,애니메이션|코미디|어드벤처,0,전체 관람가,일루미네이션 엔터테인먼트 ,유니버설 픽쳐스 ,N,
MM1000142621,마지막 8월 어느 기념비의 이야기,,Agosto Final,20190221,,마지막 8월 어느 기념비의 이야기,20190221090000,020,아르헨티나,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,,라온아이(주),N,
MM1000189092,막다른 골목의 추억,,Memories of a Dead End,20190404,774,막다른 골목의 추억,20190416090000,001|003,대한민국|일본,MG0000000001|MG0000000011,드라마|멜로/로맨스,12,12세 관람가,"(주)영화사조아, 시네마스코레",(주)트리플픽쳐스,N,
MM1000338593,말레피센트 2,,Maleficent: Mistress of Evil,20191017,1444878,말레피센트 2,20191231090000,002,미국,MG0000000006|MG0000000013|MG0000000014,판타지|어드벤처|가족,12,12세 관람가,,월트디즈니컴퍼니코리아 유한책임회사,N,
MM1000136415,말모이,,MAL·MO·E: The Secret Mission,20190109,2738121,말모이,20190212090000,001,대한민국,MG0000000001|MG0000000014|MG0000000392,드라마|가족|시대극(근현대),12,12세 관람가,더 램프 ,롯데엔터테인먼트 ,N,
MM1000273334,매니페스토,,Manifesto,20190725,684,매니페스토,20190801090000,013,독일,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,,찬란,N,
MM1000336684,매리,,Mary,20191211,,매리[캐치온],20200617000000,002,미국,MG0000000003|MG0000000004,스릴러|공포(호러),15,15세 관람가,,영화특별시 SMC ,N,
MM1000208703,매트리악,,MATRIARCH,20190509,,매트리악,20190509090000,008,영국,MG0000000003|MG0000000004,스릴러|공포(호러),15,15세 관람가,,(주)풍경소리 ,N,
MM1000255524,맨 인 블랙: 인터내셔널,,Men in Black: International,20190612,843649,맨 인 블랙: 인터내셔널,20190711000000,002,미국,MG0000000002|MG0000000006|MG0000000010|MG0000000013|MG0000000015,액션|판타지|코미디|어드벤처|SF,12,12세 관람가,,롯데엔터테인먼트 ,N,
MM1000251079,머메이드: 죽음의 호수,,THE MERMAID : LAKE OF THE DEAD,20190704,,머메이드: 죽음의 호수,20190704090000,015,러시아,MG0000000001|MG0000000004,드라마|공포(호러),15,15세 관람가,,(주)엔케이컨텐츠,N,
MM1000324144,메기,,Maggie,20190926,14969,메기,20191101090000,001,대한민국,MG0000000001|MG0000000010|MG0000000012,드라마|코미디|미스터리,15,15세 관람가,"국가인권위원회, 2X9HD","(주)엣나인필름, CGV아트하우스",N,
MM1000232958,메기의 추억,,,20190508,369,메기의 추억,20190613090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,"스마일픽처스 , 시네마테크 충무로 ",,N,
MM1000156850,메리 포핀스 리턴즈,,Mary Poppins Returns,20190214,,메리 포핀스 리턴즈,20190312090000,002,미국,MG0000000006|MG0000000018,판타지|뮤지컬,0,전체 관람가,,월트디즈니컴퍼니코리아 유한책임회사,N,
MM1000158332,"메리, 퀸 오브 스코틀랜드",,Mary Queen of Scots,20190214,,"메리, 퀸 오브 스코틀랜드",20190314090000,008,영국,MG0000000001|MG0000000392,드라마|시대극(근현대),15,15세 관람가,,,N,
MM1000287763,메시지 맨,,Message Man,20190819,,메시지 맨,20190821090000,008|011|083|099,영국|호주|아랍에미리트|인도네시아,MG0000000002|MG0000000003|MG0000000005,액션|스릴러|범죄,19,19세 관람가,,㈜코리아스크린,N,
MM1000131580,메이트,,Mate,20190117,10,메이트,20190131090000,001,대한민국,MG0000000001|MG0000000011,드라마|멜로/로맨스,15,15세 관람가,한국영화아카데미(KAFA FILMS) ,(주)콘텐츠 난다긴다 ,N,
MM1000278581,명탐정 코난: 감청의 권,,Detective Conan: The Fist of Blue Sapphire,20190724,,명탐정 코난: 감청의 권,20190808090000,003,일본,MG0000000144|MG0000000155,액션|추리/탐정,12,12세 관람가,TMS 엔터테인먼트,씨제이이앤엠(주),N,
MM1000152870,명탐정 코난: 전율의 악보,,Detective Conan: Full Score of Fear,20190214,,명탐정코난 : 전율의 악보,20190304000000,003,일본,MG0000000144|MG0000000155,액션|추리/탐정,12,12세 관람가,도쿄무비,씨제이이앤엠(주),N,
MM1000227592,명탐정 피카츄,,Pokemon Detective Pikachu,20190509,,명탐정 피카츄,20190605090000,002|003,미국|일본,MG0000000002|MG0000000010|MG0000000013,액션|코미디|어드벤처,0,전체 관람가,,워너 브러더스 코리아(주) ,N,
MM1000151232,모험왕 블링키,,Blinky Bill The Movie,20190220,,모험왕 블링키,20190227000000,011,호주,MG0000000143|MG0000000395,어드벤처|가족,0,전체 관람가,Assemblage Entertainment ,(주)라이크 콘텐츠,N,
MM1000226188,몬스터 랜드,,Zombillenium,20190516,,몬스터 랜드,20190528090000,007,프랑스,MG0000000142|MG0000000143|MG0000000148,판타지|어드벤처|코미디,0,전체 관람가,Maybe Movies,와이드 릴리즈(주),N,
MM1000316887,몬스터 하우스,,GNOME ALONE,20191003,,몬스터 하우스,20191011090000,009,캐나다,MG0000000142|MG0000000143|MG0000000395,판타지|어드벤처|가족,0,전체 관람가,,(주)박수엔터테인먼트,N,
MM1000132470,몬스터파크,,Here Comes the Grump,20190123,,몬스터 파크[한글자막][캐치온],20190723090000,008|016,영국|멕시코,MG0000000006|MG0000000008|MG0000000010|MG0000000013|MG0000000014,판타지|애니메이션|코미디|어드벤처|가족,0,전체 관람가,,(주)박수엔터테인먼트,N,
MM1000163168,몽 가르송,,My Son,20190319,,몽 가르송,20190319090000,007,프랑스,MG0000000001|MG0000000003,드라마|스릴러,15,15세 관람가,,세컨드웨이브 ,N,
MM1000271182,무간도 외전,,Operation Undercover 2: Poisonous Dragon,20190725,,무간도 외전,20190726090000,004,중국,MG0000000002|MG0000000005,액션|범죄,15,15세 관람가,,(주)빅웨이브시네마 ,N,
MM1000166215,무법자 난공불락 대열차,,Jesse James vs. The Black Train,20190314,,무법자 난공불락 대열차,20190321090000,002,미국,MG0000000001|MG0000000007,드라마|서부극(웨스턴),15,15세 관람가,,주식회사 루믹스미디어,N,
MM1000233024,물의 기억,,The Memory Of Water,20190515,19227,물의 기억,20190611090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,0,전체 관람가,(주)KNN,롯데엔터테인먼트 ,N,
MM1000160208,미결처리반 Q 4: 순수의 배신,,The Purity of Vengeance,20190314,,미결처리반 Q 4: 순수의 배신,20190314090000,036,덴마크,MG0000000003|MG0000000005|MG0000000012,스릴러|범죄|미스터리,15,15세 관람가,,(주)콘텐츠판다,N,
MM1000320225,미드 90,,Mid90s,20190925,12386,미드 90,20191022090000,002,미국,MG0000000001|MG0000000010,드라마|코미디,19,19세 관람가,,"오드 AUD , 씨나몬(주)홈초이스 ",N,
MM1000322821,미드소마,[감독판],Midsommar Director’s Cut,20191003,180,미드소마[감독판],20191028090000,002,미국,MG0000000001|MG0000000004,드라마|공포(호러),19,19세 관람가,,(주)팝엔터테인먼트,N,
MM1000308627,미드소마,,Midsommar,20190711,85070,미드소마,20190919090000,002|017,미국|스웨덴,MG0000000004|MG0000000012,공포(호러)|미스터리,19,19세 관람가,,(주)팝엔터테인먼트,N,
MM1000343217,미드웨이,,Midway,20191231,,미드웨이(2019),20200120090000,002,미국,MG0000000001|MG0000000002,드라마|액션,15,15세 관람가,,(주)누리픽쳐스 ,N,
MM1000128246,미래의 미라이,,MIRAI,20190116,1571,미래의 미라이,20190131000000,003,일본,MG0000000142|MG0000000143|MG0000000395,판타지|어드벤처|가족,0,전체 관람가,카도카와/덴츠/니혼TV/도호,메가박스중앙(주)플러스엠,N,
MM1000204996,미성년,,Another Child,20190411,,미성년,20190507090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,(주)영화사 레드피터 ,(주)쇼박스 ,N,
MM1000109497,미션 이스탄불 5: 더 파이널,,Fegefeuer,20190103,,미션 이스탄불 5: 더 파이널,20190103090000,013,독일,MG0000000002|MG0000000005,액션|범죄,15,15세 관람가,,(주)시네마리퍼블릭,N,
MM1000220335,미스 스티븐스,,Miss Stevens,20190502,1185,미스 스티븐스,20190528090000,002,미국,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,,(주)티캐스트,N,
MM1000341957,"미안해요, 리키",,SORRY WE MISSED YOU,20191219,25649,"미안해요, 리키",20200116090000,007|008|040,프랑스|영국|벨기에,MG0000000001|MG0000000014,드라마|가족,12,12세 관람가,,(주)영화사 진진,N,
MM1000194198,미이라: 악령의 부활,,Mummy Reborn,20190417,,미이라: 악령의 부활,20190425090000,002,미국,MG0000000001|MG0000000004,드라마|공포(호러),15,15세 관람가,,,N,
MM1000205038,바이스,,VICE,20190411,1558,바이스,20190507090000,002|008|019,미국|영국|스페인,MG0000000001|MG0000000387|MG0000000392,드라마|정치/법정|시대극(근현대),15,15세 관람가,,콘텐츠판다 ,N,
MM1000265972,발광하는 현대사,,,20190718,,발광하는 현대사[캐치온],20200217000000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,19,19세 관람가,영화사 반딧불 ,케이티하이텔(주),N,
MM1000315165,발명왕 볼트,,Brave Rabbit3 the Crazy Time Machine,20190919,,발명왕 볼트,20190925000000,004,중국,MG0000000141|MG0000000143|MG0000000667,SF|어드벤처|키즈드라마,0,전체 관람가,,(주)박수엔터테인먼트,N,
MM1000308750,밤의 문이 열린다,,Ghost Walk,20190815,2121,밤의 문이 열린다,20190917090000,001,대한민국,MG0000000001|MG0000000006|MG0000000012|MG0000000014,드라마|판타지|미스터리|가족,12,12세 관람가,영화사 리듬앤블루스,"무브먼트 , 영화배급협동조합 씨네소파 ",N,
MM1000227536,배심원들,,Juror 8,20190515,466,배심원들,20190604090000,001,대한민국,MG0000000001|MG0000000387,드라마|정치/법정,12,12세 관람가,반짝반짝영화사 ,CGV아트하우스,N,
MM1000350175,백두번째 구름,,"Cloud, Encore",20191226,,백두번째 구름,20200227090000,001,대한민국,MG0000000001|MG0000000017,드라마|다큐멘터리,12,12세 관람가,영화사 키노(주) ,,N,
MM1000343211,백두산,,ASHFALL,20191219,,백두산,20200122000000,001,대한민국,MG0000000001|MG0000000002,드라마|액션,12,12세 관람가,"덱스터픽쳐스 , 퍼펙트스톰필름 , CJ 엔터테인먼트 ","CJ 엔터테인먼트 , 덱스터스튜디오 ",N,
MM1000327469,버스데이 원더랜드,,THE WONDER,20191024,374,버스데이 원더랜드,20191114090000,003,일본,MG0000000142|MG0000000143,판타지|어드벤처,0,전체 관람가,,(주)애니플러스,N,
MM1000322684,버티고,,Vertigo,20191016,786,버티고,20191028090000,001,대한민국,MG0000000001|MG0000000011,드라마|멜로/로맨스,15,15세 관람가,영화사 도로시(주),(주)트리플픽쳐스,N,
MM1000326276,벌새,,House of Hummingbird,20190829,133425,벌새,20191111090000,001,대한민국,MG0000000001|MG0000000014,드라마|가족,15,15세 관람가,에피파니(주),"(주)엣나인필름, (주)콘텐츠판다",N,
MM1000131554,베스와 베라,,Incident in a Ghost Land,20190124,,베스와 베라,20190201090000,007|009,프랑스|캐나다,MG0000000001|MG0000000004,드라마|공포(호러),15,15세 관람가,,(주)팝엔터테인먼트,N,
MM1000198252,베카신!,,Becassine !,20190425,,베카신!,20190502090000,007,프랑스,MG0000000010|MG0000000013|MG0000000014,코미디|어드벤처|가족,0,전체 관람가,,마노엔터테인먼트 ,N,
